ChangeID,AssumedMilestone,Level,DateOpened,DateValidated,DateClosed,TargetClosureDate,Status,SystemsImpacted,Reason,PotentialConsequences
C00001,M2,3,2023-11-24,2023-12-03,2024-02-19,2024-01-23,Closed,"DEF, ABC",Client Requirement Change,Equipment Replacement Required
C00002,M1,3,2023-05-06,2023-05-28,2023-11-08,2023-06-17,Closed,"LMN, GHP",Material Availability Issue,Documentary Only
C00003,M1,3,2023-10-07,2023-10-21,2024-07-10,2023-12-06,Closed,ABB,Client Requirement Change,Installation Modification Required
C00004,M1,3,2023-01-17,2023-01-18,2023-01-20,2023-02-28,Closed,ABC,Vendor Deviation,Documentary Only
C00005,M3,3,2024-10-14,2024-11-06,2025-05-14,2024-11-25,Closed,XYZ,Late Engineering Input,Documentary Only
C00006,M3,3,2024-10-06,2024-10-07,2024-10-10,2024-11-17,Closed,"FGH, LMN",Design Optimization,Documentary Only
C00007,M3,2,2024-03-22,2024-03-29,2024-07-03,2024-07-25,Closed,"XYA, FGH, VWX",Risk Mitigation Measure,Documentary Only
C00008,M4,2,2025-06-22,2025-07-04,2025-10-11,2025-10-25,Closed,"DEF, ABB",Late Engineering Input,Documentary Only
C00009,M1,2,2023-06-26,2023-07-11,2023-09-03,2023-10-29,Closed,"TUV, PQR, DEH",Site Condition Variation,Documentary Only
C00010,M3,3,2024-10-01,2024-10-04,2024-10-05,2024-11-12,Closed,"DEF, CDE",Client Requirement Change,Documentary Only
C00011,M4,3,2025-11-13,,,2026-01-12,Open,"YZA, QRS, XYZ",Clash Detection Resolution,Schedule Impact
C00012,M4,3,2025-12-05,2026-01-02,,2026-01-16,Validated,LMN,Vendor Deviation,Documentary Only
C00013,M2,3,2023-04-30,2023-05-15,2023-05-23,2023-06-11,Closed,DEF,Site Condition Variation,Documentary Only
C00014,M3,3,2024-11-21,2024-11-24,2024-11-27,2025-01-02,Closed,YZA,Quality Non-Conformance,Documentary Only
C00015,M3,1,2024-04-17,2024-04-20,2025-02-14,2025-02-26,Closed,"ZAB, PQR, XYA",Material Availability Issue,Documentary Only
C00016,M3,2,2024-11-07,2024-11-25,2025-04-26,2025-05-06,Closed,WXY,Client Requirement Change,Schedule Impact
C00017,M4,3,2025-05-06,2025-05-15,2025-08-18,2025-06-17,Closed,BSG,Vendor Deviation,Calculation Revision Only
