SystemCode,Building_ID,Zone_ID
ABC,B04,B04-Z1
ABC,B04,B04-Z2
ABD,B04,B04-Z1
ABB,B03,B03-Z3
ABB,B06,
DEF,B04,
GHP,B02,B02-Z1
GHP,B02,B02-Z2
BSG,B02,B02-Z3
XYZ,B08,
LMN,B05,B05-Z1
LMN,B01,B01-Z3
PQR,B07,
STU,B09,
VWX,B01,B01-Z1
YZA,B01,B01-Z2
CDE,B03,B03-Z1
CDE,B03,B03-Z2
FGH,B03,B03-Z1
IJK,B03,B03-Z2
LMO,B04,B04-Z1
KLM,B01,B01-Z1
KLM,B01,B01-Z2
NOP,B02,B02-Z1
QRS,B05,B05-Z1
TUV,B07,B07-Z1
TUV,B07,B07-Z2
WXY,B05,B05-Z2
WXY,B05,B05-Z3
ZAB,B01,B01-Z3
XYA,B02,B02-Z2
XYA,B08,
XYB,B02,B02-Z3
DEG,B05,B05-Z2
DEG,B05,B05-Z3
DEH,B07,B07-Z2
